tokens,frequency,relative_frequency
outstanding,9,0.0006784260515603799
tried,9,0.0006784260515603799
without,9,0.0006784260515603799
wellness,9,0.0006784260515603799
came,9,0.0006784260515603799
disappointing,9,0.0006784260515603799
lighting,9,0.0006784260515603799
paid,9,0.0006784260515603799
less,9,0.0006784260515603799
cool,9,0.0006784260515603799
car,9,0.0006784260515603799
sure,9,0.0006784260515603799
within,9,0.0006784260515603799
center,9,0.0006784260515603799
used,9,0.0006784260515603799
served,9,0.0006784260515603799
corner,9,0.0006784260515603799
hours,9,0.0006784260515603799
thing,9,0.0006784260515603799
plus,8,0.0006030453791647821
money,8,0.0006030453791647821
website,8,0.0006030453791647821
equipped,8,0.0006030453791647821
complaint,8,0.0006030453791647821
dining,8,0.0006030453791647821
completely,8,0.0006030453791647821
gave,8,0.0006030453791647821
thank,8,0.0006030453791647821
entire,8,0.0006030453791647821
property,8,0.0006030453791647821
actually,8,0.0006030453791647821
concierge,8,0.0006030453791647821
recommended,8,0.0006030453791647821
turn,8,0.0006030453791647821
enjoyable,8,0.0006030453791647821
bars,8,0.0006030453791647821
lunch,8,0.0006030453791647821
thanks,8,0.0006030453791647821
near,8,0.0006030453791647821
disappointed,8,0.0006030453791647821
sites,8,0.0006030453791647821
happy,8,0.0006030453791647821
junior,8,0.0006030453791647821
new,8,0.0006030453791647821
upon,8,0.0006030453791647821
helped,8,0.0006030453791647821
team,8,0.0006030453791647821
comandante,8,0.0006030453791647821
relax,8,0.0006030453791647821
start,8,0.0006030453791647821
said,8,0.0006030453791647821
cake,8,0.0006030453791647821
eggs,8,0.0006030453791647821
incredibly,8,0.0006030453791647821
superb,8,0.0006030453791647821
mount,8,0.0006030453791647821
menu,8,0.0006030453791647821
boutique,8,0.0006030453791647821
available,8,0.0006030453791647821
moment,8,0.0006030453791647821
course,8,0.0006030453791647821
honeymoon,8,0.0006030453791647821
booking,8,0.0006030453791647821
spend,8,0.0006030453791647821
train,8,0.0006030453791647821
wine,8,0.0006030453791647821
shopping,8,0.0006030453791647821
wish,8,0.0006030453791647821
ship,8,0.0006030453791647821
road,7,0.0005276647067691844
pay,7,0.0005276647067691844
making,7,0.0005276647067691844
limited,7,0.0005276647067691844
option,7,0.0005276647067691844
spectacular,7,0.0005276647067691844
big,7,0.0005276647067691844
love,7,0.0005276647067691844
visited,7,0.0005276647067691844
building,7,0.0005276647067691844
due,7,0.0005276647067691844
beyond,7,0.0005276647067691844
housekeeping,7,0.0005276647067691844
tub,7,0.0005276647067691844
central,7,0.0005276647067691844
docks,7,0.0005276647067691844
impressive,7,0.0005276647067691844
facing,7,0.0005276647067691844
fact,7,0.0005276647067691844
town,7,0.0005276647067691844
least,7,0.0005276647067691844
guest,7,0.0005276647067691844
covid,7,0.0005276647067691844
bathrooms,7,0.0005276647067691844
anything,7,0.0005276647067691844
