bigram,frequency,bigrams
"('pretty', 'cool')",1,pretty cool
"('cool', 'we')",1,cool we
"('we', 'watched')",1,we watched
"('watched', 'a')",1,watched a
"('slightly', 'quirky')",1,slightly quirky
"('quirky', 'in')",1,quirky in
"('of', 'its')",1,of its
"('drink', 'and')",1,drink and
"('review', 'but')",1,review but
"('but', 'most')",1,but most
"('the', 'employees')",1,the employees
"('employees', 'at')",1,employees at
"('were', 'incredibly')",1,were incredibly
"('incredibly', 'pretentious')",1,incredibly pretentious
"('pretentious', 'and')",1,pretentious and
"('and', 'rude')",1,and rude
"('the', 'drink')",1,the drink
"('and', 'door')",1,and door
"('submit', 'a')",1,submit a
"('door', 'service')",1,door service
"('poor', 'which')",1,poor which
"('shame', 'since')",1,shame since
"('since', 'the')",1,since the
"('breakfast', 'food')",1,breakfast food
"('the', '90eur')",1,the 90eur
"('90eur', 'credit')",1,90eur credit
"('credit', 'they')",1,credit they
"('offered', 'seemed')",1,offered seemed
"('bad', 'review')",1,bad review
"('not', 'submit')",1,not submit
"('its', 'decor')",1,its decor
"('fine', 'if')",1,fine if
"('areas', 'the')",1,areas the
"('at', 'reception')",1,at reception
"('reception', 'are')",1,reception are
"('are', 'happy')",1,are happy
"('happy', 'and')",1,happy and
"('smiling', 'all')",1,smiling all
"('time', 'breakfast')",1,time breakfast
"('is', 'small')",1,is small
"('but', 'fine')",1,but fine
"('a', 'dip')",1,a dip
"('normally', 'would')",1,normally would
"('dip', 'we')",1,dip we
"('t', 'hesitate')",1,t hesitate
"('hesitate', 'to')",1,hesitate to
"('bit', 'rough')",1,bit rough
"('rough', 'but')",1,rough but
"('restaurants', 'on')",1,restaurants on
"('the', 'doorstep')",1,the doorstep
"('doorstep', 'i')",1,doorstep i
"('i', 'normally')",1,i normally
"('arriving', 'in')",1,arriving in
"('ischia', 'prior')",1,ischia prior
"('least', 'this')",1,least this
"('in', 'ischia')",1,in ischia
"('bit', 'iffy')",1,bit iffy
"('iffy', 'but')",1,iffy but
"('not', 'sure')",1,not sure
"('sure', 'where')",1,sure where
"('where', 'in')",1,where in
"('naples', 'would')",1,naples would
"('be', 'better')",1,be better
"('better', 'deserves')",1,better deserves
"('deserves', 'high')",1,deserves high
"('high', 'praise')",1,high praise
"('praise', 'for')",1,praise for
"('for', 'convenience')",1,for convenience
"('convenience', 'cleanliness')",1,convenience cleanliness
"('cleanliness', 'and')",1,cleanliness and
"('interesting', 'decor')",1,interesting decor
"('with', 'warm')",1,with warm
"('warm', 'hospitality')",1,warm hospitality
"('smiling', 'service')",1,smiling service
"('service', 'taking')",1,service taking
"('a', 'return')",1,a return
"('return', 'flight')",1,return flight
"('harbor', 'a')",1,harbor a
"('near', 'harbor')",1,near harbor
"('reasonable', 'location')",1,reasonable location
"('massage', 'i')",1,massage i
"('this', 'gave')",1,this gave
"('the', 'feeling')",1,the feeling
"('feeling', 'of')",1,feeling of
"('of', 'more')",1,of more
"('more', 'space')",1,more space
"('space', 'spa')",1,space spa
"('spa', 'wonderful')",1,spa wonderful
"('wonderful', 'best')",1,wonderful best
"('best', 'massage')",1,best massage
"('i', 'ever')",1,i ever
"('and', 'reasonable')",1,and reasonable
"('hours', 'each')",1,hours each
"('in', 'pools')",1,in pools
"('heat', 'rooms')",1,heat rooms
"('rooms', 'included')",1,rooms included
"('included', 'we')",1,included we
"('used', 'them')",1,used them
"('them', 'every')",1,them every
"('day', 'michelin')",1,day michelin
"('gracious', 'lovely')",1,gracious lovely
"('flight', 'to')",1,flight to
"('to', 'ny')",1,to ny
"('ny', 'through')",1,ny through
"('week', 'visit')",1,week visit
"('napoli', 'towards')",1,napoli towards
"('towards', 'the')",1,towards the
"('honeymoon', 'the')",1,honeymoon the
"('deluxe', 'front')",1,deluxe front
"('front', 'room')",1,front room
"('quite', 'nice')",1,quite nice
"('nice', 'amenities')",1,nice amenities
"('amenities', 'and')",1,amenities and
"('bed', 'we')",1,bed we
"('of', 'smart')",1,of smart
"('end', 'your')",1,end your
"('smart', 'features')",1,smart features
"('features', 'which')",1,features which
"('which', 'took')",1,which took
"('a', 'moment')",1,a moment
"('moment', 'to')",1,moment to
"('out', 'but')",1,out but
"('is', 'adjacent')",1,is adjacent
"('cruise', 'terminal')",1,cruise terminal
"('terminal', 'we')",1,terminal we
"('your', 'day')",1,your day
"('modern', 'a')",1,modern a
"('through', 'naples')",1,through naples
"('vibrant', 'city')",1,vibrant city
"('after', 'visiting')",1,after visiting
"('the', 'puglia')",1,the puglia
"('puglia', 'region')",1,puglia region
"('region', 'an')",1,region an
"('easy', 'drive')",1,easy drive
"('drive', 'to')",1,drive to
"('to', 'we')",1,to we
"('of', 'days')",1,of days
"('this', 'vibrant')",1,this vibrant
"('spa', 'with')",1,spa with
"('clean', 'modern')",1,clean modern
"('our', 'favorite')",1,our favorite
"('favorite', 'things')",1,favorite things
"('things', 'here')",1,things here
"('here', 'easy')",1,here easy
"('everything', 'the')",1,everything the
"('a', 'stark')",1,a stark
"('stark', 'contrast')",1,stark contrast
"('contrast', 'to')",1,contrast to
"('naples', 'clean')",1,naples clean
"('to', 'got')",1,to got
"('got', 'it')",1,got it
"('real', 'pleasure')",1,real pleasure
"('everyone', 'incredibly')",1,everyone incredibly
"('hotel', 'lovely')",1,hotel lovely
"('lovely', 'design')",1,lovely design
"('design', 'fixtures')",1,design fixtures
"('fixtures', 'and')",1,fixtures and
"('and', 'fittings')",1,and fittings
"('fittings', 'and')",1,fittings and
"('and', 'top')",1,and top
"('quality', 'service')",1,quality service
"('service', 'outstanding')",1,service outstanding
"('outstanding', 'breakfast')",1,outstanding breakfast
"('spa', 'experience')",1,spa experience
"('in', 'downstairs')",1,in downstairs
"('downstairs', 'bar')",1,downstairs bar
"('good', 'overall')",1,good overall
"('overall', 'a')",1,overall a
"('experience', 'really')",1,experience really
"('really', 'a')",1,really a
"('hotel', 'what')",1,hotel what
"('really', 'made')",1,really made
"('staff', 'not')",1,staff not
"('only', 'was')",1,only was
"('say', 'romeo')",1,say romeo
"('definitely', 'say')",1,definitely say
"('can', 'definitely')",1,can definitely
"('good', 'size')",1,good size
"('romeo', 'are')",1,romeo are
"('are', 'top')",1,are top
"('notch', 'and')",1,notch and
"('relax', 'and')",1,relax and
"('stay', 'while')",1,stay while
"('while', 'in')",1,while in
"('decor', 'at')",1,decor at
"('not', 'over')",1,not over
"('top', 'our')",1,top our
"('size', 'clean')",1,size clean
"('world', 'and')",1,world and
"('coffee', 'was')",1,coffee was
"('breakfast', 'items')",1,breakfast items
"('items', 'high')",1,items high
"('quality', 'my')",1,quality my
"('wife', 'tells')",1,wife tells
"('tells', 'me')",1,tells me
"('have', 'traveled')",1,have traveled
"('traveled', 'a')",1,traveled a
"('lot', 'all')",1,lot all
"('was', 'everyone')",1,was everyone
"('do', 'anything')",1,do anything
"('is', 'outstanding')",1,is outstanding
"('stay', 'better')",1,stay better
"('lacked', 'none')",1,lacked none
"('the', 'expected')",1,the expected
"('expected', 'luxuries')",1,expected luxuries
"('luxuries', 'the')",1,luxuries the
"('exceptional', 'even')",1,exceptional even
"('even', 'by')",1,even by
"('high', 'culinary')",1,high culinary
"('culinary', 'standards')",1,culinary standards
"('standards', 'of')",1,standards of
"('and', 'campania')",1,and campania
"('campania', 'and')",1,campania and
"('was', 'amongst')",1,was amongst
"('amongst', 'the')",1,amongst the
"('the', 'warmest')",1,the warmest
"('warmest', 'welcoming')",1,warmest welcoming
"('helpful', 'that')",1,helpful that
"('encountered', 'anywhere')",1,encountered anywhere
"('anywhere', 'truly')",1,anywhere truly
"('outstanding', 'we')",1,outstanding we
"('for', '9')",1,for 9
"('9', 'nights')",1,9 nights
"('but', 'lacked')",1,but lacked
"('conventional', 'luxury')",1,conventional luxury
"('the', 'conventional')",1,the conventional
"('nothing', 'every')",1,nothing every
"('better', 'they')",1,better they
"('they', 'always')",1,they always
"('always', 'remembered')",1,always remembered
"('remembered', 'who')",1,remembered who
"('who', 'we')",1,who we
"('were', 'and')",1,were and
"('d', 'needed')",1,d needed
"('needed', 'before')",1,needed before
"('before', 'nothing')",1,before nothing
"('every', 'got')",1,every got
"('departure', 'from')",1,departure from
"('got', 'dropped')",1,got dropped
"('dropped', 'rare')",1,dropped rare
"('rare', 'even')",1,rare even
"('even', 'at')",1,even at
"('about', 'our')",1,about our
"('immaculate', 'comfortable')",1,immaculate comfortable
"('hotel', 'architecture')",1,hotel architecture
"('architecture', 'was')",1,architecture was
"('beautiful', 'departure')",1,beautiful departure
"('done', 'the')",1,done the
"('ll', 'done')",1,ll done
"('very', 'we')",1,very we
"('us', 'very')",1,us very
"('fried', 'poached')",1,fried poached
"('eggs', 'etc')",1,eggs etc
"('etc', 'by')",1,etc by
"('by', 'then')",1,by then
"('too', 'late')",1,too late
"('late', 'on')",1,late on
"('on', 'contrast')",1,on contrast
"('contrast', 'the')",1,contrast the
"('staff', 'on')",1,staff on
"('reception', 'were')",1,reception were
"('exceptional', 'spa')",1,exceptional spa
"('great', 'rooms')",1,great rooms
"('rooms', 'clean')",1,rooms clean
"('clean', 'bright')",1,clean bright
"('bright', 'and')",1,bright and
"('comfy', 'if')",1,comfy if
"('if', 'service')",1,if service
"('was', 'consistently')",1,was consistently
"('consistently', 'high')",1,consistently high
"('high', 'i')",1,high i
"('have', 'scored')",1,have scored
"('getting', 'fried')",1,getting fried
"('guest', 'getting')",1,guest getting
"('another', 'guest')",1,another guest
"('not', 'told')",1,not told
"('facility', 'great')",1,facility great
"('restaurant', 'recommendations')",1,restaurant recommendations
"('recommendations', 'service')",1,recommendations service
"('service', 'varied')",1,service varied
"('varied', 'by')",1,varied by
"('by', 'way')",1,by way
"('of', 'quality')",1,of quality
"('quality', 'at')",1,quality at
"('breakfast', 'we')",1,breakfast we
"('told', 'there')",1,told there
"('saw', 'another')",1,saw another
"('were', 'hot')",1,were hot
"('hot', 'options')",1,hot options
"('options', 'available')",1,options available
"('available', 'on')",1,available on
"('on', 'request')",1,on request
"('request', 'we')",1,request we
"('only', 'found')",1,only found
"('found', 'out')",1,found out
"('we', 'saw')",1,we saw
"('scored', 'more')",1,scored more
"('more', 'this')",1,more this
"('and', 'imo')",1,and imo
"('staff', 'put')",1,staff put
"('also', 'comfortable')",1,also comfortable
"('welcoming', 'hotel')",1,welcoming hotel
"('appointed', 'stay')",1,appointed stay
"('attentive', 'upon')",1,attentive upon
"('upon', 'our')",1,upon our
"('departure', 'at')",1,departure at
"('at', '6')",1,at 6
"('6', '30am')",1,6 30am
"('30am', 'staff')",1,30am staff
"('put', 'together')",1,put together
"('comfortable', 'incredibly')",1,comfortable incredibly
"('together', 'a')",1,together a
"('a', 'to')",1,a to
"('go', 'breakfast')",1,go breakfast
"('take', 'to')",1,take to
"('airport', 'this')",1,airport this
"('the', 'cherry')",1,the cherry
"('cherry', 'on')",1,cherry on
"('on', 'top')",1,on top
"('top', 'for')",1,top for
"('incredibly', 'stylish')",1,incredibly stylish
"('family', 'the')",1,family the
"('imo', 'plenty')",1,imo plenty
"('how', 'fascinating')",1,how fascinating
"('for', 'improvement')",1,for improvement
"('improvement', 'in')",1,improvement in
"('that', 'department')",1,that department
"('department', 'we')",1,department we
"('genuinely', 'surprised')",1,genuinely surprised
"('how', 'friendly')",1,how friendly
"('people', 'of')",1,people of
"('naples', 'are')",1,naples are
"('are', 'and')",1,are and
"('fascinating', 'the')",1,fascinating the
"('new', 'family')",1,new family
"('city', 'is')",1,city is
"('is', 'our')",1,is our
"('home', 'and')",1,home and
"('really', 'it')",1,really it
"('it', 'felt')",1,it felt
"('like', 'home')",1,like home
"('home', 'was')",1,home was
"('was', 'romeo')",1,was romeo
"('were', 'our')",1,were our
"('in', 'december')",1,in december
"('december', 'while')",1,december while
"('naples', 'area')",1,naples area
"('exceeded', 'the')",1,exceeded the
"('discount', 'offered')",1,discount offered
"('offered', 'this')",1,offered this
"('especially', 'disappointing')",1,especially disappointing
"('disappointing', 'since')",1,disappointing since
"('since', 'we')",1,since we
"('visited', 'during')",1,visited during
"('the', 'covid')",1,the covid
"('covid', '19')",1,covid 19
"('19', 'pandemic')",1,19 pandemic
"('pandemic', 'and')",1,pandemic and
"('relax', 'outdoors')",1,relax outdoors
"('outdoors', 'while')",1,outdoors while
"('while', 'still')",1,while still
"('still', 'being')",1,still being
"('take', 'mask')",1,take mask
"('mask', 'breaks')",1,mask breaks
"('breaks', 'for')",1,breaks for
"('paid', 'over')",1,paid over
"('over', '600')",1,over 600
"('600', 'per')",1,600 per
"('better', 'communication')",1,better communication
"('or', 'discount')",1,or discount
"('notification', 'or')",1,notification or
"('any', 'notification')",1,any notification
"('was', 'disappointed')",1,was disappointed
"('standard', 'our')",1,standard our
"('so', 'good')",1,so good
"('we', 'came')",1,we came
"('came', 'back')",1,came back
"('again', 'on')",1,again on
"('our', 'month')",1,our month
"('month', 'long')",1,month long
"('long', 'trip')",1,long trip
"('italy', 'this')",1,italy this
"('amenities', 'one')",1,amenities one
"('closed', 'without')",1,closed without
"('main', 'reasons')",1,main reasons
"('was', 'for')",1,was for
"('the', 'outdoor')",1,the outdoor
"('and', 'deck')",1,and deck
"('deck', 'but')",1,deck but
"('were', 'shocked')",1,were shocked
"('find', 'out')",1,find out
"('that', 'these')",1,that these
"('these', 'amenities')",1,these amenities
"('communication', 'and')",1,communication and
"('least', 'the')",1,least the
"('the', 'option')",1,the option
"('so', 'delicious')",1,so delicious
"('quality', 'i')",1,quality i
"('sure', 'perfect')",1,sure perfect
"('perfect', 'option')",1,perfect option
"('friends', 'family')",1,friends family
"('family', 'or')",1,family or
"('or', 'for')",1,or for
"('a', 'romantic')",1,a romantic
"('romantic', 'weekend')",1,romantic weekend
"('weekend', 'breakfast')",1,weekend breakfast
"('delicious', 'staff')",1,delicious staff
"('surprise', 'hotel')",1,surprise hotel
"('staff', 'so')",1,staff so
"('so', 'professional')",1,so professional
"('friendly', 'cleanneless')",1,friendly cleanneless
"('cleanneless', 'is')",1,cleanneless is
"('top', 'good')",1,top good
"('good', 'job')",1,good job
"('job', 'we')",1,job we
"('will', 'recommend')",1,will recommend
"('friends', 'the')",1,friends the
"('location', 'good')",1,location good
"('good', 'surprise')",1,good surprise
"('use', 'all')",1,use all
"('with', 'options')",1,with options
"('amenities', 'that')",1,amenities that
"('were', 'advertised')",1,were advertised
"('advertised', 'one')",1,advertised one
"('best', 'parts')",1,best parts
"('buffet', 'the')",1,buffet the
"('the', 'selection')",1,the selection
"('selection', 'was')",1,selection was
"('was', 'vast')",1,was vast
"('vast', 'with')",1,vast with
"('options', 'ranging')",1,options ranging
"('cooked', 'to')",1,cooked to
"('ranging', 'from')",1,ranging from
"('from', 'bread')",1,from bread
"('bread', 'cheese')",1,bread cheese
"('cheese', 'fruit')",1,cheese fruit
"('fruit', 'and')",1,fruit and
"('and', 'yogurt')",1,and yogurt
"('yogurt', 'to')",1,yogurt to
"('to', 'pizza')",1,to pizza
"('eggs', 'cooked')",1,eggs cooked
"('the', 'standard')",1,the standard
"('all', 'exceeded')",1,all exceeded
"('to', 'celebrate')",1,to celebrate
"('they', 'all')",1,they all
"('recommend', 'cool')",1,recommend cool
"('cool', 'evening')",1,cool evening
"('evening', 'activities')",1,evening activities
"('us', 'every')",1,us every
"('romeo', 'staff')",1,romeo staff
"('staff', 'went')",1,staff went
"('say', 'hello')",1,say hello
"('hello', 'and')",1,hello and
"('and', 'to')",1,and to
"('if', 'there')",1,if there
"('was', 'anything')",1,was anything
"('anything', 'they')",1,anything they
"('could', 'do')",1,could do
"('do', 'to')",1,do to
"('us', 'enjoy')",1,us enjoy
"('our', 'time')",1,our time
"('naples', 'they')",1,naples they
"('they', 'arranged')",1,they arranged
"('arranged', 'several')",1,arranged several
"('several', 'fun')",1,several fun
"('fun', 'activities')",1,fun activities
"('to', 'recommend')",1,to recommend
"('was', 'able')",1,was able
"('had', 'and')",1,had and
"('few', 'carmen')",1,few carmen
"('celebrate', 'my')",1,celebrate my
"('birthday', 'the')",1,birthday the
"('perfect', 'restaurant')",1,perfect restaurant
"('were', 'second')",1,were second
"('were', 'amazingly')",1,were amazingly
"('amazingly', 'accommodating')",1,amazingly accommodating
"('friendly', 'to')",1,friendly to
"('to', 'name')",1,to name
"('name', 'a')",1,name a
"('carmen', 'francesco')",1,carmen francesco
"('cocktails', 'we')",1,cocktails we
"('and', 'georgio')",1,and georgio
"('georgio', 'made')",1,georgio made
"('a', 'lasting')",1,a lasting
"('lasting', 'impression')",1,lasting impression
"('impression', 'on')",1,impression on
"('us', 'georgio')",1,us georgio
"('georgio', 'also')",1,georgio also
"('also', 'made')",1,also made
"('best', 'cocktails')",1,best cocktails
"('us', 'such')",1,us such
"('trip', 'on')",1,trip on
"('private', 'tour')",1,private tour
"('manager', 'makes')",1,manager makes
"('be', 'refurbished')",1,be refurbished
"('refurbished', 'in')",1,refurbished in
"('in', 'january')",1,in january
"('january', 'special')",1,january special
"('special', 'thanks')",1,special thanks
"('the', 'hosts')",1,the hosts
"('hosts', 'at')",1,hosts at
"('notch', 'service')",1,notch service
"('friendliness', 'the')",1,friendliness the
"('makes', 'this')",1,makes this
"('we', 'understand')",1,we understand
"('hotel', 'his')",1,hotel his
"('his', 'leadership')",1,his leadership
"('leadership', 'is')",1,leadership is
"('is', 'some')",1,is some
"('seen', 'the')",1,seen the
"('a', 'reflection')",1,a reflection
"('reflection', 'of')",1,reflection of
"('of', 'him')",1,of him
"('him', 'and')",1,him and
"('understand', 'that')",1,understand that
"('taste', 'we')",1,taste we
"('tour', 'to')",1,tour to
"('previously', 'could')",1,previously could
"('coast', 'activities')",1,coast activities
"('activities', 'in')",1,activities in
"('area', 'shopping')",1,area shopping
"('get', 'us')",1,get us
"('us', 'into')",1,us into
"('into', 'some')",1,into some
"('best', 'local')",1,best local
"('restaurants', 'that')",1,restaurants that
"('we', 'previously')",1,we previously
"('could', 'service')",1,could service
"('personal', 'taste')",1,personal taste
"('are', 'excellent')",1,are excellent
"('interior', 'design')",1,interior design
"('is', 'somewhat')",1,is somewhat
"('somewhat', 'dated')",1,somewhat dated
"('dated', 'and')",1,dated and
"('and', 'too')",1,and too
"('too', 'eclectic')",1,too eclectic
"('eclectic', 'but')",1,eclectic but
"('s', 'personal')",1,s personal
"('hour', 'using')",1,hour using
"('spending', 'an')",1,spending an
"('worth', 'spending')",1,worth spending
"('and', 'end')",1,and end
"('local', 'trattoria')",1,local trattoria
"('trattoria', 'was')",1,trattoria was
"('was', 'better')",1,was better
"('better', 'then')",1,better then
"('desk', 'is')",1,desk is
"('is', 'mediocre')",1,is mediocre
"('mediocre', 'and')",1,mediocre and
"('the', 'valets')",1,the valets
"('valets', 'can')",1,valets can
"('even', 'call')",1,even call
"('call', 'a')",1,call a
"('cab', 'having')",1,cab having
"('having', 'to')",1,having to
"('to', 'rely')",1,to rely
"('rely', 'on')",1,rely on
"('desk', 'book')",1,desk book
"('car', 'tot')",1,car tot
"('tot', 'the')",1,tot the
"('train', 'stain')",1,train stain
"('stain', 'for')",1,stain for
"('4', 'people')",1,4 people
"('the', 'local')",1,the local
"('honestly', 'the')",1,honestly the
"('and', 'honestly')",1,and honestly
"('you', 'won')",1,you won
"('boating', 'vacation')",1,boating vacation
"('vacation', 'out')",1,vacation out
"('naples', 'harbor')",1,naples harbor
"('harbor', 'high')",1,harbor high
"('high', 'design')",1,high design
"('but', 'pay')",1,but pay
"('pay', 'attention')",1,pay attention
"('attention', 'or')",1,attention or
"('or', 'you')",1,or you
"('be', 'able')",1,be able
"('expensive', 'and')",1,expensive and
"('windows', 'in')",1,windows in
"('but', 'radiated')",1,but radiated
"('radiated', 'so')",1,radiated so
"('much', 'heat')",1,much heat
"('heat', 'i')",1,heat i
"('to', 'move')",1,to move
"('move', 'the')",1,move the
"('is', 'stupidly')",1,is stupidly
"('stupidly', 'expensive')",1,stupidly expensive
"('5', 'bags')",1,5 bags
"('bags', 'the')",1,bags the
"('car', 'that')",1,car that
"('roof', 'is')",1,roof is
"('service', 'food')",1,service food
"('and', 'ambiance')",1,and ambiance
"('ambiance', 'will')",1,ambiance will
"('will', 'def')",1,will def
"('def', 'come')",1,def come
"('restaurant', 'tasting')",1,restaurant tasting
"('menu', 'was')",1,menu was
"('pool', 'im')",1,pool im
"('im', 'the')",1,im the
"('nice', 'addition')",1,nice addition
"('our', 'fault')",1,our fault
"('relax', 'after')",1,relax after
"('after', 'walking')",1,after walking
"('walking', 'around')",1,walking around
"('naples', 'reception')",1,naples reception
"('reception', 'team')",1,reception team
"('team', 'were')",1,team were
"('were', 'attentive')",1,were attentive
"('professional', 'the')",1,professional the
"('romeo', 'completely')",1,romeo completely
"('fault', 'excellent')",1,fault excellent
"('insisted', 'this')",1,insisted this
"('that', 'came')",1,that came
"('sized', 'cabs')",1,sized cabs
"('came', 'was')",1,came was
"('small', 'so')",1,small so
"('so', 'running')",1,so running
"('running', 'out')",1,running out
"('catch', 'our')",1,catch our
"('our', 'train')",1,our train
"('train', 'we')",1,train we
"('2', 'normal')",1,2 normal
"('normal', 'sized')",1,normal sized
"('cabs', 'the')",1,cabs the
"('an', 'insisted')",1,an insisted
"('desk', 'manager')",1,desk manager
"('so', 'irritated')",1,so irritated
"('irritated', 'she')",1,irritated she
"('she', 'came')",1,she came
"('came', 'out')",1,came out
"('and', 'started')",1,and started
"('started', 'berating')",1,started berating
"('berating', 'us')",1,berating us
"('us', 'an')",1,us an
"('a', 'boating')",1,a boating
"('beginning', 'and')",1,beginning and
"('exceeding', 'our')",1,exceeding our
"('each', 'at')",1,each at
"('harbor', 'thank')",1,harbor thank
"('entire', 'staff')",1,entire staff
"('making', 'my')",1,making my
"('so', 'very')",1,so very
"('enjoyable', 'the')",1,enjoyable the
"('only', 'reason')",1,only reason
"('reason', 'i')",1,reason i
"('i', 'picked')",1,i picked
"('picked', 'this')",1,picked this
"('a', 'globalist')",1,a globalist
"('globalist', 'with')",1,globalist with
"('hyatt', 'this')",1,hyatt this
"('this', 'however')",1,this however
"('however', 'is')",1,however is
"('a', 'typical')",1,a typical
"('typical', 'hyatt')",1,typical hyatt
"('hyatt', 'they')",1,hyatt they
"('they', 'do')",1,they do
"('not', 'provide')",1,not provide
"('provide', 'any')",1,provide any
"('same', 'perks')",1,same perks
"('dining', 'restaurant')",1,dining restaurant
"('fine', 'dining')",1,fine dining
"('their', 'fine')",1,their fine
"('possible', 'the')",1,possible the
"('always', 'shows')",1,always shows
"('shows', 'great')",1,shows great
"('great', 'warmth')",1,great warmth
"('and', 'professionalism')",1,and professionalism
"('professionalism', 'they')",1,professionalism they
"('they', 'go')",1,they go
"('go', 'out')",1,go out
"('be', 'helpful')",1,be helpful
"('way', 'possible')",1,way possible
"('excellent', 'while')",1,excellent while
"('dine', 'in')",1,dine in
"('while', 'facing')",1,while facing
"('huge', 'cruise')",1,huge cruise
"('ships', 'would')",1,ships would
"('be', 'my')",1,be my
"('so', 'central')",1,so central
"('the', 'breakfasts')",1,the breakfasts
"('breakfasts', 'were')",1,breakfasts were
"('excellent', 'i')",1,excellent i
"('not', 'dine')",1,not dine
"('perks', 'we')",1,perks we
"('called', 'a')",1,called a
"('few', 'days')",1,few days
"('two', 'twins')",1,two twins
"('was', 'supposed')",1,was supposed
"('view', 'if')",1,view if
"('you', 'stood')",1,you stood
"('stood', 'on')",1,stood on
"('the', 'far')",1,the far
"('far', 'right')",1,far right
"('right', 'side')",1,right side
"('window', 'you')",1,window you
"('harbor', 'the')",1,harbor the
"('twins', 'stuck')",1,twins stuck
"('an', 'old')",1,an old
"('stuck', 'together')",1,stuck together
"('together', 'and')",1,together and
"('was', 'about')",1,was about
"('a', 'postage')",1,a postage
"('postage', 'stamp')",1,postage stamp
"('stamp', 'stayed')",1,stamp stayed
"('stayed', 'twice')",1,stayed twice
"('twice', '1')",1,twice 1
"('night', 'each')",1,night each
"('old', 'ugly')",1,old ugly
"('give', 'it')",1,give it
"('and', 'asked')",1,and asked
"('manager', 'we')",1,manager we
"('asked', 'about')",1,asked about
"('about', 'early')",1,about early
"('early', 'check')",1,early check
"('they', 'told')",1,they told
"('us', 'we')",1,us we
"('book', 'another')",1,book another
"('another', 'night')",1,another night
"('truly', 'disliked')",1,truly disliked
"('disliked', 'this')",1,disliked this
"('completely', 'unaccommodating')",1,completely unaccommodating
"('ll', 'give')",1,ll give
"('unaccommodating', 'and')",1,unaccommodating and
"('and', 'arrogant')",1,and arrogant
"('arrogant', 'this')",1,arrogant this
"('was', 'supposedly')",1,was supposedly
"('supposedly', 'a')",1,supposedly a
"('had', 'none')",1,had none
"('the', 'characteristics')",1,the characteristics
"('characteristics', 'the')",1,characteristics the
"('i', 'll')",1,i ll
"('completely', 'exceeding')",1,completely exceeding
"('our', 'expectations')",1,our expectations
"('easily', 'worth')",1,easily worth
"('around', 'outside')",1,around outside
"('hour', 'the')",1,hour the
"('with', 'infra')",1,with infra
"('infra', 'red')",1,infra red
"('red', 'saunas')",1,red saunas
"('saunas', 'a')",1,saunas a
"('a', 'salt')",1,a salt
"('great', 'steam')",1,great steam
"('steam', 'and')",1,steam and
"('and', 'sauna')",1,and sauna
"('sauna', 'area')",1,sauna area
"('area', 'you')",1,area you
"('can', 'easily')",1,can easily
"('easily', 'spend')",1,easily spend
"('spend', 'the')",1,spend the
"('day', 'there')",1,day there
"('there', 'they')",1,there they
"('they', 'make')",1,they make
"('great', 'martini')",1,great martini
"('martini', 'at')",1,martini at
"('their', 'fabulous')",1,their fabulous
"('so', 'interesting')",1,so interesting
"('good', 'in')",1,good in
"('someone', 'who')",1,someone who
"('found', 'someone')",1,found someone
"('three', 'week')",1,three week
"('it', 'does')",1,it does
"('expensive', 'michelin')",1,expensive michelin
"('restaurant', 'overall')",1,restaurant overall
"('much', 'for')",1,much for
"('what', 'it')",1,what it
"('has', 'although')",1,has although
"('we', 'started')",1,we started
"('started', 'our')",1,started our
"('our', 'three')",1,our three
"('and', 'malta')",1,and malta
"('they', 'found')",1,they found
"('malta', 'at')",1,malta at
"('super', 'accomodating')",1,super accomodating
"('accomodating', 'i')",1,accomodating i
"('i', 'wanted')",1,i wanted
"('wanted', 'a')",1,wanted a
"('a', 'last')",1,a last
"('minute', 'street')",1,minute street
"('street', 'art')",1,street art
"('tour', 'and')",1,tour and
"('interesting', 'and')",1,interesting and
"('and', 'everywhere')",1,and everywhere
"('look', 'you')",1,look you
"('the', 'caring')",1,the caring
"('the', 'rainy')",1,the rainy
"('rainy', 'weather')",1,rainy weather
"('weather', 'hotel')",1,weather hotel
"('a', 'highlight')",1,a highlight
"('highlight', 'and')",1,highlight and
"('made', 'out')",1,made out
"('out', 'time')",1,out time
"('naples', 'exceptional')",1,naples exceptional
"('exceptional', 'from')",1,exceptional from
"('caring', 'and')",1,caring and
"('i', 'highly')",1,i highly
"('to', 'simply')",1,to simply
"('simply', 'the')",1,simply the
"('hotel', 'umbrellas')",1,hotel umbrellas
"('umbrellas', 'i')",1,umbrellas i
"('ve', 'experienced')",1,ve experienced
"('experienced', 'the')",1,experienced the
"('hotel', 'spa')",1,hotel spa
"('is', 'brilliant')",1,is brilliant
"('and', 'easily')",1,and easily
"('naples', 'despite')",1,naples despite
"('full', 'i')",1,full i
"('see', 'something')",1,see something
"('was', 'waiting')",1,was waiting
"('something', 'that')",1,something that
"('you', 'didn')",1,you didn
"('t', 'see')",1,t see
"('see', 'before')",1,see before
"('before', 'the')",1,before the
"('i', 'left')",1,i left
"('left', 'my')",1,left my
"('my', 'ipad')",1,my ipad
"('ipad', 'and')",1,ipad and
"('me', 'when')",1,me when
"('were', 'full')",1,were full
"('when', 'ir')",1,when ir
"('ir', 'returned')",1,ir returned
"('naples', 'three')",1,naples three
"('three', 'weeks')",1,three weeks
"('weeks', 'later')",1,weeks later
