bigram,frequency,bigrams
"('with', 'all')",5,with all
"('and', 'spa')",5,and spa
"('the', 'first')",5,the first
"('area', 'is')",5,area is
"('exceptional', 'the')",5,exceptional the
"('had', 'breakfast')",5,had breakfast
"('before', 'our')",5,before our
"('definitely', 'stay')",5,definitely stay
"('far', 'from')",5,far from
"('gym', 'and')",5,gym and
"('is', 'quite')",5,is quite
"('if', 'i')",5,if i
"('restaurant', 'is')",5,restaurant is
"('you', 'could')",5,you could
"('the', 'lights')",5,the lights
"('is', 'that')",5,is that
"('a', 'five')",5,a five
"('s', 'in')",5,s in
"('plenty', 'of')",5,plenty of
"('water', 'and')",5,water and
"('so', 'much')",5,so much
"('which', 'were')",5,which were
"('walk', 'in')",5,walk in
"('small', 'pool')",5,small pool
"('night', 'in')",5,night in
"('of', 'it')",5,of it
"('is', 'so')",5,is so
"('i', 'think')",5,i think
"('we', 'spent')",5,we spent
"('us', 'the')",5,us the
"('down', 'to')",5,down to
"('last', 'night')",5,last night
"('decor', 'is')",5,decor is
"('our', 'last')",5,our last
"('naples', 'it')",5,naples it
"('comfortable', 'beds')",5,comfortable beds
"('ferry', 'terminal')",5,ferry terminal
"('harbour', 'view')",5,harbour view
"('area', 'the')",5,area the
"('loved', 'it')",5,loved it
"('very', 'pleasant')",5,very pleasant
"('a', 'busy')",5,a busy
"('in', 'an')",5,in an
"('in', 'all')",5,in all
"('capri', 'and')",5,capri and
"('forward', 'to')",5,forward to
"('because', 'the')",5,because the
"('the', 'water')",5,the water
"('of', 'mt')",5,of mt
"('helpful', 'in')",5,helpful in
"('roof', 'top')",5,roof top
"('every', 'time')",5,every time
"('from', 'a')",5,from a
"('the', 'modern')",5,the modern
"('area', 'and')",5,area and
"('bottle', 'of')",5,bottle of
"('dinner', 'at')",5,dinner at
"('ultra', 'modern')",5,ultra modern
"('back', 'the')",5,back the
"('stay', 'we')",5,stay we
"('was', 'no')",5,was no
"('train', 'station')",5,train station
"('an', 'hour')",5,an hour
"('a', 'city')",5,a city
"('high', 'standard')",5,high standard
"('restaurants', 'and')",5,restaurants and
"('more', 'than')",5,more than
"('location', 'of')",5,location of
"('part', 'of')",5,part of
"('you', 'see')",5,you see
"('wellness', 'room')",5,wellness room
"('especially', 'the')",5,especially the
"('city', 'center')",5,city center
"('that', 'you')",5,that you
"('and', 'great')",5,and great
"('in', 'napoli')",5,in napoli
"('service', 'we')",5,service we
"('taking', 'a')",5,taking a
"('to', 'help')",5,to help
"('looking', 'for')",5,looking for
"('is', 'really')",5,is really
"('was', 'exceptional')",5,was exceptional
"('good', 'service')",5,good service
"('cruise', 'ship')",5,cruise ship
"('of', 'all')",5,of all
"('upon', 'arrival')",5,upon arrival
"('places', 'to')",5,places to
"('fabulous', 'hotel')",5,fabulous hotel
"('is', 'just')",5,is just
"('a', 'box')",4,a box
"('much', 'to')",4,much to
"('but', 'at')",4,but at
"('oh', 'and')",4,oh and
"('to', 'book')",4,to book
"('hotel', 'had')",4,hotel had
"('we', 'ate')",4,we ate
"('i', 'got')",4,i got
"('naples', 'for')",4,naples for
"('sound', 'proofing')",4,sound proofing
"('great', 'service')",4,great service
"('home', 'the')",4,home the
"('king', 'size')",4,king size
"('not', 'to')",4,not to
"('to', 'reception')",4,to reception
"('number', 'of')",4,number of
"('in', 'walking')",4,in walking
"('weren', 't')",4,weren t
"('and', 'service')",4,and service
"('great', 'hotel')",4,great hotel
"('was', 'of')",4,was of
"('the', 'coffee')",4,the coffee
"('place', 'is')",4,place is
"('none', 'of')",4,none of
"('it', 'had')",4,it had
"('also', 'had')",4,also had
"('can', 'see')",4,can see
"('back', 'again')",4,back again
"('but', 'you')",4,but you
"('because', 'we')",4,because we
"('of', 'an')",4,of an
"('stay', 'and')",4,stay and
"('for', 'its')",4,for its
"('and', 'not')",4,and not
"('star', 'hotels')",4,star hotels
"('friendly', 'we')",4,friendly we
"('the', 'gym')",4,the gym
"('to', 'many')",4,to many
"('there', 'the')",4,there the
"('of', 'vesuvius')",4,of vesuvius
"('hotel', 's')",4,hotel s
"('do', 'not')",4,do not
"('and', 'many')",4,and many
"('lovely', 'hotel')",4,lovely hotel
"('night', 'and')",4,night and
"('romeo', 'was')",4,romeo was
"('many', 'of')",4,many of
"('ferries', 'and')",4,ferries and
"('was', 'small')",4,was small
"('and', 'cruise')",4,and cruise
"('a', 'night')",4,a night
"('very', 'enjoyable')",4,very enjoyable
"('experience', 'the')",4,experience the
"('art', 'and')",4,art and
"('an', 'evening')",4,an evening
"('to', 'its')",4,to its
"('was', 'lovely')",4,was lovely
"('rooftop', 'bar')",4,rooftop bar
"('lighting', 'system')",4,lighting system
"('buffet', 'breakfast')",4,buffet breakfast
"('was', 'included')",4,was included
"('the', 'islands')",4,the islands
"('back', 'in')",4,back in
"('the', 'ferries')",4,the ferries
"('by', 'a')",4,by a
"('where', 'the')",4,where the
"('i', 'don')",4,i don
"('to', 'come')",4,to come
"('is', 'super')",4,is super
"('through', 'the')",4,through the
"('were', 'only')",4,were only
"('i', 'booked')",4,i booked
"('of', 'this')",4,of this
"('to', 'work')",4,to work
"('enjoyable', 'stay')",4,enjoyable stay
"('we', 'found')",4,we found
"('and', 'professional')",4,and professional
"('hotel', 'on')",4,hotel on
"('the', 'whole')",4,the whole
"('facing', 'the')",4,facing the
"('easy', 'to')",4,easy to
"('near', 'the')",4,near the
"('hotel', 'room')",4,hotel room
"('were', 'told')",4,were told
"('across', 'from')",4,across from
"('arrival', 'and')",4,arrival and
"('taxi', 'to')",4,taxi to
"('a', 'quick')",4,a quick
"('our', 'arrival')",4,our arrival
"('t', 'think')",4,t think
"('walk', 'around')",4,walk around
"('a', 'drink')",4,a drink
"('the', 'heart')",4,the heart
"('would', 'recommend')",4,would recommend
"('heart', 'of')",4,heart of
"('of', 'staff')",4,of staff
"('was', 'our')",4,was our
"('wait', 'to')",4,wait to
"('about', 'this')",4,about this
"('and', 'other')",4,and other
"('great', 'restaurant')",4,great restaurant
"('harbour', 'and')",4,harbour and
"('to', 'this')",4,to this
"('to', 'everything')",4,to everything
"('next', 'time')",4,next time
"('the', 'concierge')",4,the concierge
"('was', 'one')",4,was one
"('using', 'the')",4,using the
"('so', 'many')",4,so many
"('a', 'place')",4,a place
"('the', 'fact')",4,the fact
"('couple', 'of')",4,couple of
"('a', 'couple')",4,a couple
"('was', 'still')",4,was still
"('truly', 'a')",4,truly a
"('view', 'over')",4,view over
"('without', 'any')",4,without any
"('town', 'and')",4,town and
"('welcoming', 'and')",4,welcoming and
"('dinner', 'in')",4,dinner in
"('the', 'art')",4,the art
"('our', 'flight')",4,our flight
"('the', 'docks')",4,the docks
"('to', 'explore')",4,to explore
"('day', 'we')",4,day we
"('for', 'sure')",4,for sure
"('i', 'will')",4,i will
"('to', 'order')",4,to order
"('an', 'upgrade')",4,an upgrade
"('prior', 'to')",4,prior to
"('like', 'to')",4,like to
"('room', 'which')",4,room which
"('minute', 'walk')",4,minute walk
"('but', 'was')",4,but was
"('location', 'close')",4,location close
"('the', 'worst')",4,the worst
"('the', 'door')",4,the door
"('in', 'my')",4,in my
"('room', 'itself')",4,room itself
"('of', 'mount')",4,of mount
"('that', 'were')",4,that were
"('by', 'far')",4,by far
"('was', 'quite')",4,was quite
"('us', 'and')",4,us and
"('were', 'all')",4,were all
"('were', 'not')",4,were not
"('was', 'just')",4,was just
"('but', 'when')",4,but when
"('and', 'restaurants')",4,and restaurants
"('gave', 'us')",4,gave us
"('thanks', 'to')",4,thanks to
"('nice', 'view')",4,nice view
"('you', 'feel')",4,you feel
"('amazing', 'the')",4,amazing the
"('space', 'for')",4,space for
"('wait', 'staff')",4,wait staff
"('some', 'time')",4,some time
"('all', 'over')",4,all over
"('really', 'nice')",4,really nice
"('day', 'the')",4,day the
"('it', 'has')",4,it has
"('to', 'say')",4,to say
"('although', 'we')",4,although we
"('view', 'on')",4,view on
"('lobby', 'and')",4,lobby and
"('night', 'stay')",4,night stay
"('quality', 'of')",4,quality of
"('shopping', 'and')",4,shopping and
"('lovely', 'and')",4,lovely and
"('the', 'closet')",4,the closet
"('perfect', 'place')",4,perfect place
"('well', 'worth')",4,well worth
"('and', 'mt')",4,and mt
"('were', 'friendly')",4,were friendly
"('and', 'is')",4,and is
